Location,Latitude,Longitude
Kesabpur,22.6163541,88.1784853
Koppa,37.2811053,127.0507571
Rudraram,17.5596219,78.1616151
Mirzapur,37.2811053,127.0507571
Murakambattu,13.2478772,79.1082734
Dudhi,37.2811053,127.0507571
Palam,28.5905524,77.0669219
Kendrapara District,20.5498689,86.0903515
Bengaluru,12.9538477,77.3507442
Bhagalpur,25.2403376,86.9217658
Kesinga,20.1817355,83.1976603
Adra,37.2811053,127.0507571
Khaira Bari,26.5229139,90.9680054
Sanjeli,23.052774,73.9653104
Kuttiattoor,11.9778735,75.4497713
Kagal Midc,16.6216083,74.2831967
Paduvilayi,11.8742639,75.4887649
Vadama,37.2811053,127.0507571
Panchsheel Nagar District,28.7159314,77.5915046
Suryapet,17.1441059,79.5895951
Talen,37.2811053,127.0507571
Lawngtlai,22.5289617,92.8568738
Tahliwala Industrial Area,37.2811053,127.0507571
Kasganj,27.804696,78.6262358
Pasur,37.2811053,127.0507571
Bhanupratappur,20.3046323,81.0616028
Chhata,27.7283306,77.4731155
Alok City,37.2811053,127.0507571
Khatu Shyam Ji,27.3649067,75.3962462
Chirmiri,23.2026251,82.2889513
Jhalrapatan,24.5440092,76.1540375
Gangapur City,26.4819559,76.6934747
Sarupathar,26.1890483,93.8499481
Haldwani,29.2135273,79.5094048
Kichha,28.9113724,79.4954823
Baudh,37.2811053,127.0507571
Abdullat,16.6584354,74.5072603
Pashchim Khalna,37.2811053,127.0507571
Rampur Maniharan,29.8039405,77.4402191
Tundla,27.2199064,78.2190118
Zaidpur,26.8301898,81.3193779
Nissing,29.6925985,76.7448908
Malda,25.0963368,87.8329032
Arang,37.2811053,127.0507571
Rasulabad,26.6768468,79.7749201
Gidc Savli,37.2811053,127.0507571
T Kallupatti,9.7206894,77.8497219
District Tonk,26.1194364,75.1521702
Dwarka,22.2467142,68.951884
Wanaparthy District,37.2811053,127.0507571
Bahadurgarh,28.6932915,76.8954546
Manjeri,11.1176143,76.0770345
Ganj Basoda,23.8475809,77.9028204
Nuapada District,20.5512439,82.0582965
Katihar,25.5514921,87.5338513
Ghagra,37.2811053,127.0507571
Sriramnagar,37.2811053,127.0507571
Sidco Industrial Estate Gudimangalam,37.2811053,127.0507571
Pulgoan,20.7204713,78.3012113
Rehla,37.2811053,127.0507571
Khara,37.2811053,127.0507571
Keskal,20.0830575,81.5822624
Ulhas Nagar,19.2240581,73.1319121
Ernad,37.2811053,127.0507571
Delhi 110042,28.7493764,77.0673499
"Rae Bareli,",26.2362505,81.2068467
Sarcarsamakulam,11.1370456,77.0240317
Rahata,19.7124192,74.4737969
Amod,21.9929526,72.851715
Vaishali,37.2811053,127.0507571
Debagarh,21.5366021,84.7106193
Jatari,28.022002,77.6401662
Allahganj,27.5456051,79.6839024
Annur,37.2811053,127.0507571
Sengaon,19.793728,76.880265
Killai,11.4546082,79.7413364
Sunari Kalan,37.2811053,127.0507571
Rania,37.2811053,127.0507571
Arjunda,20.9451678,81.1956168
Beltangadi,12.9910712,75.2603172
Chenn,37.2811053,127.0507571
Dhemaji,27.4773965,94.5191401
Dakor.,22.7540206,73.1396341
Karumathampatti,11.112941,77.1479696
Puducherry,11.9362931,79.7785085
Hingoli,19.7224885,77.1178788
Ntpc Dadri,37.2811053,127.0507571
Changanacherry,9.434453,76.5022946
Purulia,23.3307423,86.3273686
Malihabad,26.9192879,80.6994041
Ochira,9.1272734,76.4890236
Kotla Nihang,30.9520427,76.5335512
Sangrur,30.2422085,75.8077663
Suket,37.2811053,127.0507571
Phulabani,20.4730081,84.1999047
Pennadam,11.403828,79.2220901
District Firozabad,27.1567589,78.3595797
Bagli,37.2811053,127.0507571
Dharapur,26.1436434,91.6032078
Elayavoor,11.8761117,75.3665802
Bijapur,16.8297894,75.647497
Okha Port,37.2811053,127.0507571
Kulithalai,10.9383859,78.4026001
Barmer,37.2811053,127.0507571
Kunjathur,12.7455382,74.8794918
Pulla,37.2811053,127.0507571
Chakdah,23.0631384,88.4863615
Sasara,37.2811053,127.0507571
Kota City,25.1733863,75.7769083
Ratlam District,23.5006425,74.5422808
Bhatpara,22.8476162,88.371588
Chhatarpur District,24.7551722,78.5884245
Siuri,23.9056852,87.4817269
Babai,37.2811053,127.0507571
Kundli Industrial Area,37.2811053,127.0507571
Purba Bardhaman District,37.2811053,127.0507571
Dhanera,24.5041774,72.0153786
Neemrana,27.976432,76.3527772
Bilaigarh,21.6397056,82.711819
Hariharganj,24.5454636,84.2702651
Khardah,22.7053112,88.3445405
Industrial Estate Barwala,37.2811053,127.0507571
Mamllapuram,12.6223265,80.1736327
Guna,37.2811053,127.0507571
Chapar,37.2811053,127.0507571
Chandannagar,22.8616353,88.3509187
Rajgarh Churu District,28.6358126,75.3671979
Muzafferpur,37.2811053,127.0507571
Bhubnaneswar,37.2811053,127.0507571
